stim_name,target_bg,l_probe
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
whites,w,0.1
whites,w,0.16
whites,w,0.22
whites,w,0.28
whites,w,0.34
whites,w,0.4
whites,b,0.6
whites,b,0.66
whites,b,0.72
whites,b,0.78
whites,b,0.84
whites,b,0.9
