trial,stim_name,target_bg,l_probe
0,sbcs,w,0.16
1,sbcs,w,0.22
2,sbcs,w,0.16
3,sbcs,w,0.22
4,sbcs,w,0.1
5,sbcs,w,0.16
6,sbcs,b,0.72
7,sbcs,b,0.78
8,sbcs,w,0.1
9,sbcs,b,0.66
10,sbcs,b,0.84
11,sbcs,b,0.66
12,sbcs,w,0.4
13,sbcs,w,0.4
14,sbcs,b,0.6
15,sbcs,b,0.72
16,sbcs,b,0.78
17,sbcs,b,0.6
18,sbcs,w,0.22
19,sbcs,w,0.1
20,sbcs,b,0.78
21,sbcs,w,0.34
22,sbcs,b,0.66
23,sbcs,b,0.66
24,sbcs,b,0.66
25,sbcs,b,0.78
26,sbcs,w,0.28
27,sbcs,b,0.84
28,sbcs,w,0.28
29,sbcs,w,0.28
30,sbcs,w,0.4
31,sbcs,b,0.6
32,sbcs,b,0.78
33,sbcs,w,0.22
34,sbcs,w,0.34
35,sbcs,b,0.6
36,sbcs,b,0.72
37,sbcs,w,0.34
38,sbcs,b,0.9
39,sbcs,w,0.1
40,sbcs,b,0.9
41,sbcs,b,0.9
42,sbcs,b,0.9
43,sbcs,w,0.28
44,sbcs,w,0.22
45,sbcs,w,0.1
46,sbcs,w,0.1
47,sbcs,b,0.66
48,sbcs,w,0.16
49,sbcs,b,0.66
50,sbcs,w,0.16
51,sbcs,w,0.4
52,sbcs,w,0.4
53,sbcs,w,0.16
54,sbcs,b,0.6
55,sbcs,b,0.6
56,sbcs,b,0.72
57,sbcs,b,0.78
58,sbcs,w,0.22
59,sbcs,w,0.28
60,sbcs,b,0.78
61,sbcs,b,0.72
62,sbcs,b,0.84
63,sbcs,w,0.1
64,sbcs,w,0.22
65,sbcs,b,0.78
66,sbcs,w,0.28
67,sbcs,w,0.34
68,sbcs,b,0.84
69,sbcs,b,0.9
70,sbcs,b,0.6
71,sbcs,b,0.9
72,sbcs,b,0.9
73,sbcs,b,0.9
74,sbcs,w,0.22
75,sbcs,b,0.72
76,sbcs,b,0.84
77,sbcs,w,0.34
78,sbcs,b,0.84
79,sbcs,w,0.4
80,sbcs,b,0.66
81,sbcs,w,0.22
82,sbcs,w,0.4
83,sbcs,b,0.66
84,sbcs,w,0.16
85,sbcs,b,0.6
86,sbcs,b,0.84
87,sbcs,b,0.84
88,sbcs,w,0.34
89,sbcs,b,0.72
90,sbcs,w,0.34
91,sbcs,b,0.66
92,sbcs,w,0.1
93,sbcs,w,0.4
94,sbcs,w,0.1
95,sbcs,w,0.28
96,sbcs,b,0.84
97,sbcs,w,0.16
98,sbcs,w,0.28
99,sbcs,w,0.34
100,sbcs,w,0.16
101,sbcs,w,0.16
102,sbcs,w,0.4
103,sbcs,w,0.34
104,sbcs,b,0.78
105,sbcs,b,0.6
106,sbcs,b,0.9
107,sbcs,w,0.1
108,sbcs,w,0.28
109,sbcs,b,0.78
110,sbcs,w,0.34
111,sbcs,b,0.72
112,sbcs,b,0.84
113,sbcs,w,0.28
114,sbcs,b,0.72
115,sbcs,b,0.6
116,sbcs,b,0.9
117,sbcs,b,0.72
118,sbcs,w,0.4
119,sbcs,w,0.22
