trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
0,whites,w,0.16,Right,1.5868,20231103:160649.780629,20231103:160651.921375
1,whites,w,0.1,Right,0.95222,20231103:160651.922879,20231103:160653.392864
2,whites,w,0.22,Right,1.39324,20231103:160653.394087,20231103:160655.250939
3,whites,b,0.9,Right,3.18942,20231103:160655.252181,20231103:160658.875316
4,whites,w,0.1,Right,1.09389,20231103:160658.929695,20231103:160700.486540
5,whites,w,0.28,Right,0.98914,20231103:160700.487842,20231103:160701.933317
6,whites,w,0.16,Right,0.66677,20231103:160701.934242,20231103:160703.058644
7,whites,w,0.34,Right,1.67017,20231103:160703.060006,20231103:160705.175893
8,whites,w,0.34,Right,1.58738,20231103:160705.177473,20231103:160707.280226
9,whites,w,0.22,Right,1.32254,20231103:160707.281478,20231103:160709.081397
10,whites,b,0.72,Right,1.60801,20231103:160709.082646,20231103:160711.142739
11,whites,b,0.6,Left,0.71978,20231103:160711.179251,20231103:160712.379599
12,whites,b,0.6,Left,1.41402,20231103:160712.380711,20231103:160714.288386
13,whites,b,0.78,Right,0.78381,20231103:160714.289617,20231103:160715.595698
14,whites,b,0.72,Right,1.9439,20231103:160715.596945,20231103:160718.027197
15,whites,w,0.4,Left,0.95906,20231103:160718.028479,20231103:160719.458918
16,whites,b,0.78,Right,0.9293,20231103:160719.460175,20231103:160720.835561
17,whites,w,0.34,Left,0.82033,20231103:160720.836845,20231103:160722.113300
18,whites,b,0.9,Right,1.35791,20231103:160722.114519,20231103:160723.912141
19,whites,w,0.22,Right,1.67204,20231103:160723.913365,20231103:160726.024547
20,whites,w,0.4,Left,1.08776,20231103:160726.025784,20231103:160727.557068
21,whites,b,0.6,Left,1.66255,20231103:160727.558322,20231103:160729.663915
22,whites,b,0.66,Left,3.51531,20231103:160729.664852,20231103:160733.662424
23,whites,w,0.34,Right,2.0254,20231103:160733.663654,20231103:160736.141519
24,whites,w,0.22,Right,0.77456,20231103:160736.142747,20231103:160737.364706
25,whites,b,0.84,Right,0.61708,20231103:160737.365784,20231103:160738.437289
26,whites,w,0.4,Left,1.57875,20231103:160738.438537,20231103:160740.507921
27,whites,w,0.1,Right,0.54647,20231103:160740.509179,20231103:160741.554132
28,whites,w,0.4,Left,0.81032,20231103:160741.586441,20231103:160742.859707
29,whites,w,0.16,Right,0.53423,20231103:160742.860968,20231103:160743.904147
30,whites,w,0.34,Right,2.1674,20231103:160743.905410,20231103:160746.540684
31,whites,b,0.6,Left,1.09352,20231103:160746.541116,20231103:160748.072816
32,whites,b,0.84,Right,0.8182,20231103:160748.074071,20231103:160749.347031
33,whites,b,0.72,Right,0.83715,20231103:160749.348281,20231103:160750.673479
34,whites,w,0.1,Right,0.59873,20231103:160750.673952,20231103:160751.773292
35,whites,w,0.16,Right,0.61115,20231103:160751.774526,20231103:160752.839521
36,whites,b,0.6,Left,1.35217,20231103:160752.840731,20231103:160754.642382
37,whites,b,0.66,Left,1.7492,20231103:160754.643633,20231103:160756.859163
38,whites,b,0.84,Right,0.71118,20231103:160756.860482,20231103:160758.028205
39,whites,b,0.9,Right,0.96116,20231103:160758.029457,20231103:160759.457399
40,whites,w,0.1,Right,0.66171,20231103:160759.458654,20231103:160800.566700
41,whites,w,0.16,Right,0.6787,20231103:160800.567625,20231103:160801.677689
42,whites,b,0.84,Right,0.86069,20231103:160801.678958,20231103:160803.002830
43,whites,w,0.34,Right,1.45561,20231103:160803.004125,20231103:160804.903546
44,whites,b,0.84,Right,1.96287,20231103:160804.904903,20231103:160807.364364
45,whites,b,0.66,Left,1.07699,20231103:160807.365597,20231103:160808.902676
46,whites,w,0.4,Left,1.01529,20231103:160808.903940,20231103:160810.421316
47,whites,w,0.16,Right,0.81637,20231103:160810.422761,20231103:160811.729410
48,whites,b,0.78,Right,1.8168,20231103:160811.730663,20231103:160814.027901
49,whites,w,0.22,Right,1.60852,20231103:160814.029146,20231103:160816.086597
50,whites,w,0.4,Left,0.72918,20231103:160816.087852,20231103:160817.254475
51,whites,b,0.66,Left,2.03562,20231103:160817.255878,20231103:160819.728582
52,whites,w,0.34,Right,0.86731,20231103:160819.729853,20231103:160821.088309
53,whites,w,0.28,Right,1.35668,20231103:160821.089584,20231103:160822.923016
54,whites,w,0.34,Right,1.42181,20231103:160822.924650,20231103:160824.825658
55,whites,w,0.16,Right,0.5898,20231103:160824.884841,20231103:160825.948875
56,whites,b,0.6,Left,1.42463,20231103:160825.950485,20231103:160827.890845
57,whites,w,0.28,Right,0.96283,20231103:160827.892324,20231103:160829.322472
58,whites,b,0.78,Right,1.38167,20231103:160829.323767,20231103:160831.169530
59,whites,b,0.72,Right,1.23635,20231103:160831.170794,20231103:160832.865650
60,whites,w,0.34,Right,1.24936,20231103:160835.731597,20231103:160837.425867
61,whites,b,0.9,Right,1.97378,20231103:160837.427134,20231103:160839.854892
62,whites,b,0.6,Left,1.34365,20231103:160839.856093,20231103:160841.686478
63,whites,w,0.22,Right,1.79587,20231103:160841.687776,20231103:160843.959069
64,whites,w,0.4,Left,1.00504,20231103:160843.960543,20231103:160845.440639
65,whites,w,0.28,Right,2.52988,20231103:160845.441915,20231103:160848.467620
66,whites,w,0.22,Right,5.41619,20231103:160848.468900,20231103:160854.348292
67,whites,w,0.22,Right,4.00102,20231103:160854.349581,20231103:160858.816041
68,whites,w,0.1,Right,0.79623,20231103:160858.817311,20231103:160900.102218
69,whites,w,0.4,Left,1.21553,20231103:160900.166908,20231103:160901.869209
70,whites,b,0.78,Right,2.12198,20231103:160901.870449,20231103:160904.462616
71,whites,w,0.28,Right,1.52466,20231103:160904.463885,20231103:160906.481414
72,whites,w,0.28,Right,2.88782,20231103:160906.482689,20231103:160909.857457
73,whites,b,0.72,Right,0.9674,20231103:160909.858850,20231103:160911.297524
74,whites,b,0.72,Right,1.52424,20231103:160911.298811,20231103:160913.331332
75,whites,b,0.66,Left,1.44168,20231103:160913.332632,20231103:160915.234061
76,whites,w,0.1,Right,0.87208,20231103:160915.235237,20231103:160916.563233
77,whites,b,0.78,Right,1.22332,20231103:160916.564191,20231103:160918.254454
78,whites,b,0.9,Right,0.88924,20231103:160918.255899,20231103:160919.635290
79,whites,w,0.28,Right,1.30613,20231103:160919.636781,20231103:160921.467912
80,whites,b,0.9,Right,2.40543,20231103:160921.469180,20231103:160924.363647
81,whites,b,0.72,Left,1.35225,20231103:160924.364914,20231103:160926.157509
82,whites,w,0.16,Right,0.64215,20231103:160926.158811,20231103:160927.274835
83,whites,w,0.4,Left,1.20787,20231103:160927.276131,20231103:160928.965607
84,whites,b,0.66,Left,1.62561,20231103:160928.966900,20231103:160931.075591
85,whites,b,0.66,Left,1.44436,20231103:160931.077000,20231103:160932.976602
86,whites,b,0.66,Left,1.27157,20231103:160932.977882,20231103:160934.722912
87,whites,b,0.78,Right,0.67312,20231103:160934.724212,20231103:160935.842765
88,whites,b,0.9,Right,1.04648,20231103:160935.844042,20231103:160937.326382
89,whites,b,0.9,Right,1.94484,20231103:160937.327621,20231103:160939.750361
90,whites,b,0.6,Left,1.96947,20231103:160939.751655,20231103:160942.176799
91,whites,b,0.66,Left,1.08805,20231103:160942.178072,20231103:160943.708450
92,whites,w,0.4,Left,0.83978,20231103:160943.709934,20231103:160945.034341
93,whites,b,0.84,Right,0.71888,20231103:160945.073405,20231103:160946.275086
94,whites,w,0.34,Right,1.32215,20231103:160946.275957,20231103:160948.065119
95,whites,b,0.72,Right,1.7832,20231103:160948.066845,20231103:160950.332263
96,whites,w,0.16,Right,1.14727,20231103:160950.333155,20231103:160951.971035
97,whites,b,0.66,Left,1.94754,20231103:160951.972311,20231103:160954.430553
98,whites,b,0.84,Right,0.88489,20231103:160954.431834,20231103:160955.757203
99,whites,w,0.1,Right,4.06743,20231103:160955.806094,20231103:161000.325222
100,whites,w,0.1,Right,1.5095,20231103:161000.326477,20231103:161002.288227
101,whites,b,0.9,Right,1.66203,20231103:161002.289473,20231103:161004.414288
102,whites,b,0.9,Right,3.63314,20231103:161004.415557,20231103:161008.528433
103,whites,b,0.84,Right,0.71926,20231103:161008.529698,20231103:161009.712590
104,whites,w,0.1,Right,0.55341,20231103:161009.713758,20231103:161010.732072
105,whites,w,0.22,Right,0.95035,20231103:161010.733361,20231103:161012.169692
106,whites,w,0.28,Right,0.57208,20231103:161012.171175,20231103:161013.217532
107,whites,b,0.72,Left,1.39231,20231103:161013.218703,20231103:161015.068356
108,whites,b,0.78,Right,0.78918,20231103:161015.069781,20231103:161016.380923
109,whites,b,0.78,Right,1.0057,20231103:161016.382161,20231103:161017.864860
110,whites,w,0.22,Right,0.74168,20231103:161017.866393,20231103:161019.084893
111,whites,b,0.78,Right,1.87938,20231103:161019.086238,20231103:161021.445659
112,whites,b,0.72,Right,0.75559,20231103:161021.446934,20231103:161022.668961
113,whites,w,0.16,Right,0.8248,20231103:161022.670244,20231103:161023.941943
114,whites,b,0.84,Right,1.45846,20231103:161023.943205,20231103:161025.834963
115,whites,w,0.28,Right,1.94785,20231103:161025.835900,20231103:161028.257561
116,whites,w,0.28,Right,1.17126,20231103:161028.258856,20231103:161029.895602
117,whites,b,0.6,Left,1.03752,20231103:161029.896812,20231103:161031.379373
118,whites,b,0.84,Right,1.34931,20231103:161031.380842,20231103:161033.210666
119,whites,b,0.6,Left,1.07767,20231103:161033.211944,20231103:161034.747603
